S/N,MTANDAO,GENDER,MARITAL_STATUS,DEPENDENTS,AGE,UNIVERSITY,DEGREE,EARNINGS,REGISTRATION,LOAN_BOARD,PAST_FREQUENCY,FUTURE_FREQUENCY,PROBLEM_SOLVING,EXCEPTIONAL_SERVICE_EXPERIENCE,VALUE_FOR_MONEY,PRICE_COMPARISON,WIDE_COVERAGE,CALL_DROPS,STRONG_SIGNALS,FREE_COMPLAINTS,SHARE_NEGATIVE_EXPERIENCE,HIGH_SWITCHING_COST,REDUCE_TRANSACTIONS,USUALLY_SWITCH_PROVIDERS,GET_THROUGH,DO_WHAT_THEY_SAY,TIMELY_EFFECTIVE_COMPLAINTS,HIGH_SWITCHING_ENERGY_TIME,FUTURE_TRANSACTIONS,LOYAL,FIRST_CHOICE
1,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.6,9,9,A,D,A,A,A,A,A,A,A,A,A,D,D,A,A,A,A,A,A
2,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.4,4,8,F,D,D,D,A,D,A,A,A,A,A,A,D,A,D,A,D,F,A
3,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,17,13,D,F,A,A,A,D,D,A,A,F,D,A,D,A,D,A,D,A,A
4,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,27,14,A,F,A,A,A,A,A,A,D,D,D,A,D,A,A,A,D,A,A
5,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,,1,6,6,A,F,F,A,A,A,A,A,A,A,D,A,D,D,D,A,D,A,A
6,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.2,11,11,F,A,A,F,A,D,A,D,A,D,D,D,A,D,F,A,D,D,A
7,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,0.5,20,20,D,D,D,A,A,D,D,D,D,A,A,D,D,A,D,D,D,A,A
8,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,ABOVE 1000000,2021,0,8,8,F,A,D,F,D,D,D,A,A,F,A,D,D,A,D,D,D,A,F
9,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,0.8,24,15,D,D,D,A,A,D,D,D,D,A,D,D,D,D,D,D,D,A,D
10,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.75,23,23,D,D,F,F,D,D,A,D,A,D,D,A,D,F,D,A,D,A,A
11,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,14,15,A,F,A,F,A,D,F,A,A,A,A,F,A,A,D,A,A,A,A
12,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2010,0,29,15,A,F,D,F,A,A,A,A,A,A,D,A,A,A,D,A,A,A,A
13,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.2,9,23,A,D,A,F,A,A,A,A,A,F,A,A,D,A,D,D,D,F,A
14,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,,0,23,23,F,F,A,F,A,A,D,D,A,A,D,D,D,A,A,D,A,A,A
15,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,6,6,D,D,F,F,D,D,D,F,A,A,A,A,D,A,A,D,A,F,A
16,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2019,0.62,15,15,A,D,D,F,A,D,D,A,A,A,D,D,D,A,A,A,A,A,A
17,TIGO,MALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2020,1,9,9,A,A,A,A,A,D,A,A,A,A,A,A,D,A,D,A,D,,
18,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2017,0.25,12,12,D,A,A,A,A,D,A,A,A,A,A,D,A,D,A,A,A,D,
19,VODA,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,450000-1000000,2012,0,23,22,A,F,A,F,A,D,A,A,A,D,A,F,A,F,A,F,A,A,
20,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.75,14,18,D,D,F,F,D,D,F,D,A,F,A,D,D,F,D,D,A,F,F
21,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,11,12,A,F,A,F,A,A,A,A,A,A,A,A,D,D,D,A,A,A,A
